test_object,true_type,classified_as,decision_value,material_name,rigidity,glossiness,decision_value_norm,Glossiness,Rigidity,Enviroment_Map,Texture,init_rot,end_rot,Force,disp_scale,disp_depth,glossID,rigidID,type_truncted,type8way,detail,obj_dir,shiny_adap_trials.thisRepN,shiny_adap_trials.thisTrialN,shiny_adap_trials.thisN,shiny_adap_trials.thisIndex,gloss_trials.thisRepN,gloss_trials.thisTrialN,gloss_trials.thisN,gloss_trials.thisIndex,high_dec_dir,low_dec_dir,groundTruth,highInd,lowInd,deltaDecision,actual_target_pos,response.keys,response.rt,cor_preddnn,participant,session,date,expName,psychopyVersion,frameRate,
264,0,1,0.984788891,"shiny_rigid_rnl_None_[66, 0, 0]_[33, -42, 42]_None_1.956_1_2",rigid,shiny,-0.089151003,shiny,rigid,rnl,None,"[66, 0, 0]","[33, -42, 42]",None,1.956,1,0,0,2,1,1,validationSet_v7_movies/264.mp4,,,,,1,15,35,15,validationSet_v7_movies/110.mp4,validationSet_v7_movies/155.mp4,shiny,110,155,-0.716143418,left,['left'],[0.20235639999737032],1,477438,001,2023-04-06_16h48.00.847,non_rigid_shiny_experiment_v3,2022.2.4,60.081097470875775,
155,0,1,1.637942683,"shiny_soft_galileo_None_[24, 0, 0]_[24, 0, 0]_VORTEX_0.969_0_4",soft,shiny,-0.065090533,shiny,soft,galileo,None,"[24, 0, 0]","[24, 0, 0]",VORTEX,0.969,0,0,1,1,-1,-1,validationSet_v7_movies/155.mp4,,,,,1,16,36,16,validationSet_v7_movies/298.mp4,validationSet_v7_movies/264.mp4,shiny,298,264,-0.755986916,right,['left'],[0.23395280001568608],0,477438,001,2023-04-06_16h48.00.847,non_rigid_shiny_experiment_v3,2022.2.4,60.081097470875775,
366,0,1,2.755392713,"shiny_rigid_castel_None_[71, 0, 0]_[-32, -29, -43]_None_1.897_2_18",rigid,shiny,-0.023926608,shiny,rigid,castel,None,"[71, 0, 0]","[-32, -29, -43]",None,1.897,2,0,0,2,1,1,validationSet_v7_movies/366.mp4,,,,,1,17,37,17,validationSet_v7_movies/182.mp4,validationSet_v7_movies/235.mp4,shiny,182,235,-0.748027272,right,['left'],[0.20908080000663176],0,477438,001,2023-04-06_16h48.00.847,non_rigid_shiny_experiment_v3,2022.2.4,60.081097470875775,
188,0,1,3.465125528,"shiny_soft_abandoned_None_[61, 0, 0]_[61, 0, 0]_FORCE_1.086_0_0",soft,shiny,0.002218085,shiny,soft,abandoned,None,"[61, 0, 0]","[61, 0, 0]",FORCE,1.086,0,0,1,1,-1,-1,validationSet_v7_movies/188.mp4,,,,,1,18,38,18,validationSet_v7_movies/117.mp4,validationSet_v7_movies/366.mp4,shiny,117,366,-0.734953194,right,['left'],[0.23371149998274632],0,477438,001,2023-04-06_16h48.00.847,non_rigid_shiny_experiment_v3,2022.2.4,60.081097470875775,
67,0,1,4.201147548,"shiny_soft_rnl_None_[69, 0, 0]_[69, 0, 0]_TURBULENCE_1.408_1_6",soft,shiny,0.029331204,shiny,soft,rnl,None,"[69, 0, 0]","[69, 0, 0]",TURBULENCE,1.408,1,0,1,1,-1,-1,validationSet_v7_movies/67.mp4,,,,,1,19,39,19,validationSet_v7_movies/126.mp4,validationSet_v7_movies/311.mp4,shiny,126,311,-0.851463041,left,['left'],[0.026453200000105426],1,477438,001,2023-04-06_16h48.00.847,non_rigid_shiny_experiment_v3,2022.2.4,60.081097470875775,
126,0,0,-23.74143063,"shiny_soft_gothicManor_None_[7, 0, 0]_[7, 0, 0]_CHARGE_1.961_1_5",soft,shiny,-1.0,shiny,soft,gothicManor,None,"[7, 0, 0]","[7, 0, 0]",CHARGE,1.961,1,0,1,1,-1,-1,validationSet_v7_movies/126.mp4,,,,,2,0,40,0,validationSet_v7_movies/280.mp4,validationSet_v7_movies/311.mp4,shiny,280,311,-0.6194483150000001,left,['left'],[0.03164070000639185],1,477438,001,2023-04-06_16h48.00.847,non_rigid_shiny_experiment_v3,2022.2.4,60.081097470875775,
182,0,0,-20.90701178,"shiny_soft_abandoned_None_[86, 0, 0]_[86, 0, 0]_WIND_1.99_2_7",soft,shiny,-0.895587453,shiny,soft,abandoned,None,"[86, 0, 0]","[86, 0, 0]",WIND,1.99,2,0,1,1,-1,-1,validationSet_v7_movies/182.mp4,,,,,2,1,41,1,validationSet_v7_movies/281.mp4,validationSet_v7_movies/340.mp4,shiny,281,340,-0.691821625,left,['left'],[0.5778280999802519],1,477438,001,2023-04-06_16h48.00.847,non_rigid_shiny_experiment_v3,2022.2.4,60.081097470875775,
298,0,0,-19.53749142,"shiny_rigid_machineShop_None_[19, 0, 0]_[-46, -50, -54]_None_1.838_2_5",rigid,shiny,-0.845137919,shiny,rigid,machineShop,None,"[19, 0, 0]","[-46, -50, -54]",None,1.838,2,0,0,2,1,1,validationSet_v7_movies/298.mp4,,,,,2,2,42,2,validationSet_v7_movies/151.mp4,validationSet_v7_movies/276.mp4,shiny,151,276,-0.644068741,left,['left'],[0.11013839999213815],1,477438,001,2023-04-06_16h48.00.847,non_rigid_shiny_experiment_v3,2022.2.4,60.081097470875775,
281,0,0,-18.99610056,"shiny_rigid_machineShop_None_[76, 0, 0]_[-53, 38, 48]_None_1.693_2_0",rigid,shiny,-0.825194501,shiny,rigid,machineShop,None,"[76, 0, 0]","[-53, 38, 48]",None,1.693,2,0,0,2,1,1,validationSet_v7_movies/281.mp4,,,,,2,3,43,3,validationSet_v7_movies/294.mp4,validationSet_v7_movies/67.mp4,shiny,294,67,-0.822570449,right,['left'],[0.14424230001168326],0,477438,001,2023-04-06_16h48.00.847,non_rigid_shiny_experiment_v3,2022.2.4,60.081097470875775,
282,0,0,-18.18064232,"shiny_rigid_machineShop_None_[68, 0, 0]_[48, 43, -35]_None_1.08_0_14",rigid,shiny,-0.795155161,shiny,rigid,machineShop,None,"[68, 0, 0]","[48, 43, -35]",None,1.08,0,0,0,2,1,1,validationSet_v7_movies/282.mp4,,,,,2,4,44,4,validationSet_v7_movies/282.mp4,validationSet_v7_movies/392.mp4,shiny,282,392,-0.6668055220000001,left,['left'],[0.24201700001140125],1,477438,001,2023-04-06_16h48.00.847,non_rigid_shiny_experiment_v3,2022.2.4,60.081097470875775,
